-173,-1021
506,-665
-98,-655
958,509
648,-757
-235,-169
-368,-424
334,-181
1179,-444
97,487
-463,-813
206,-462
177,152
1342,501
-1200,-134
872,508
-207,-278
1104,-888
533,-305
-349,-482
513,-751
-49,-267
-277,-179
-1530,-329
-557,1031
345,-163
462,-139
-165,396
-257,185
281,257
476,285
1010,-601
22,282
-243,471
457,-118
339,111
-366,115
-333,-247
-272,320
171,-681
12,-305
334,-75
-74,191
358,-346
-1345,149
-446,-231
-653,553
508,284
1013,-510
5,-746
-481,-515
-196,-217
39,-163
-311,-456
-64,816
-890,528
422,-244
850,1068
1059,-256
721,588
-218,263
82,-376
381,894
313,64
-153,-350
-994,-254
-377,15
145,-367
-903,-624
-151,396
-358,192
137,-54
-351,-334
224,-696
950,17
79,13
566,-54
-320,68
-117,-152
-77,319
-270,-482
-46,-457
-192,206
457,508
34,12
-283,287
-410,575
522,-428
163,273
580,-336
-66,-379
713,235
582,-382
-353,667
485,-778
-266,108
412,299
-122,26
381,-47
35,129
91,-889
413,-434
-58,-340
486,1208
-146,45
391,351
-1128,-573
43,-1686
-731,350
-100,-175
-238,11
17,-304
137,972
162,-353
-25,377
15,-232
-1150,-359
142,68
-58,230
-278,-381
243,720
229,-205
-222,179
-419,9
392,543
-650,102
-66,172
-206,1077
-515,-147
-230,-372
-135,96
-212,-353
-620,351
995,144
255,59
543,-254
453,-875
390,-553
251,-764
-442,6
-546,-76
-317,-52
222,629
-501,-182
139,78
-185,270
-858,-84
-318,-299
238,-646
-994,1410
-576,-23
128,-769
1104,-19
448,-626
494,226
214,176
-92,-718
899,-329
-856,-995
-229,-273
-173,-1021
506,-665
-98,-655
958,509
648,-757
-235,-169
-368,-424
334,-181
1179,-444
97,487
-463,-813
206,-462
177,152
1342,501
-1200,-134
872,508
-207,-278
1104,-888
533,-305
-349,-482
513,-751
-49,-267
-277,-179
-1530,-329
-557,1031
345,-163
462,-139
-165,396
-257,185
281,257
476,285
1010,-601
22,282
-243,471
457,-118
339,111
-366,115
-333,-247
-272,320
171,-681
12,-305
334,-75
-74,191
358,-346
-1345,149
-446,-231
-653,553
508,284
1013,-510
5,-746
-481,-515
-196,-217
39,-163
-311,-456
-64,816
-890,528
422,-244
850,1068
1059,-256
721,588
-218,263
82,-376
381,894
313,64
-153,-350
-994,-254
-377,15
145,-367
-903,-624
-151,396
-358,192
137,-54
-351,-334
224,-696
950,17
79,13
566,-54
-320,68
-117,-152
-77,319
-270,-482
-46,-457
-192,206
457,508
34,12
-283,287
-410,575
522,-428
163,273
580,-336
-66,-379
713,235
582,-382
-353,667
485,-778
-266,108
412,299
-122,26
381,-47
35,129
91,-889
413,-434
-58,-340
486,1208
-146,45
391,351
-1128,-573
43,-1686
-731,350
-100,-175
-238,11
17,-304
137,972
162,-353
-25,377
15,-232
-1150,-359
142,68
-58,230
-278,-381
243,720
229,-205
-222,179
-419,9
392,543
-650,102
-66,172
-206,1077
-515,-147
-230,-372
-135,96
-212,-353
-620,351
995,144
255,59
543,-254
453,-875
390,-553
251,-764
-442,6
-546,-76
-317,-52
222,629
-501,-182
139,78
-185,270
-858,-84
-318,-299
238,-646
-994,1410
-576,-23
128,-769
1104,-19
448,-626
494,226
214,176
-92,-718
899,-329
-856,-995
-229,-273
-368,368
24,256
248,296
144,424
136,360
352,72
312,-56
-136,256
-464,656
-240,584
136,88
160,-232
-128,-120
-352,192
-424,432
-376,488
-176,160
64,-680
-32,-1472
-496,-1320
-816,-200
-584,744
-128,688
-40,144
-296,32
-360,304
24,296
416,16
264,80
-376,480
-784,440
-376,-232
504,-616
808,-16
48,808
-984,656
-1080,-336
-192,-880
560,-344
360,424
-288,408
-448,-224
32,-584
472,-440
384,-296
16,-416
-120,-440
48,-96
48,272
-360,248
-704,-32
-336,-216
544,-288
960,-424
464,-480
-128,-192
96,264
800,400
960,72
296,-280
-496,-232
-880,40
-928,144
-736,64
-272,88
240,288
360,320
112,40
-72,-216
-104,-88
-248,208
-336,248
64,104
616,240
496,672
-312,720
-824,128
-656,-520
-512,-536
-800,-120
-744,152
120,184
864,264
512,352
-336,264
-464,160
40,200
120,72
-288,-448
-312,-824
200,-416
328,264
-272,216
-752,-440
-400,-600
328,16
704,520
776,440
856,312
776,360
368,24
16,-696
120,-864
376,-240
328,80
80,-456
104,-752
368,-16
424,624
248,-40
232,-1056
456,-808
504,240
192,272
-176,-856
-352,-1328
-408,-328
-368,800
-56,704
384,-144
472,-648
112,-672
-152,-616
56,-440
304,16
40,384
-480,296
-568,-16
-184,0
80,376
-168,648
-624,424
-832,-168
-616,-672
-144,-632
216,-184
128,96
-304,-112
-528,-328
-168,64
368,760
528,944
376,488
424,120
712,328
824,704
664,640
584,160
616,-296
448,-464
24,-424
-232,-288
-32,-16
328,480
424,1096
96,1488
-480,1368
-920,888
-808,584
-312,672
-144,800
-576,624
-824,312
-216,56
592,-152
504,-256
-192,-56
-288,208
216,-56
192,-752
-432,-880
-400,-40
592,688
1104,280
328,-576
-504,-528
-176,472
464,1312
160,1408
-600,1048
-584,368
-16,-632
-8,-1280
-424,-784
-168,344
824,824
1464,480
1264,280
792,560
416,568
-72,16
-480,-360
-280,-96
464,272
872,384
568,616
-8,1032
-304,880
-144,-96
376,-1000
888,-1104
744,-808
-88,-656
-592,-504
-72,-176
616,-128
312,-512
-528,-584
-520,80
312,640
584,304
-184,-320
-824,-192
-552,488
64,760
280,584
208,688
184,1104
136,1016
128,176
432,-608
712,-640
248,-136
-640,312
-704,392
232,48
848,-528
480,-848
168,-528
840,96
1552,336
1048,56
-144,-176
-592,16
-160,264
112,168
-40,-152
128,-360
672,-400
624,-400
-376,-264
-1184,176
-704,704
544,928
